user_id,revenue_per_user
1,0.0
3,0.0
4,34.52000045776367
5,0.0
6,0.0
7,0.0
8,62.22999954223633
10,0.0
11,11.739999771118164
12,0.0
15,45.0
16,29.87999963760376
19,27.0
20,0.0
23,19.989999771118164
25,19.989999771118164
26,19.989999771118164
27,0.0
29,0.0
31,18.0
33,12.989999771118164
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,6.989999771118164
42,15.969999313354492
43,25.0
44,8.5600004196167
48,31.530000686645508
50,29.5
51,0.0
52,0.0
53,45.15999984741211
60,0.0
61,0.0
63,0.0
66,19.989999771118164
67,0.0
68,24.950000762939453
70,28.0
73,0.0
74,0.0
75,0.0
76,23.0
77,0.0
78,0.0
79,0.0
80,8.979999542236328
81,0.0
82,0.0
83,19.950000762939453
84,13.93000030517578
85,0.0
90,32.989999771118164
93,29.700000762939453
95,0.0
96,63.64999961853027
98,6.989999771118164
103,0.0
106,22.950000762939453
109,0.0
110,0.0
111,37.89999961853027
113,0.0
116,40.989999771118164
117,6.929999828338623
119,0.0
121,0.0
122,0.0
125,50.579999923706055
128,0.0
130,28.989999771118164
131,22.989999771118164
133,14.899999618530272
137,0.0
138,0.0
139,6.0
140,0.0
141,0.0
145,3.950000047683716
146,29.0
147,18.0
150,10.989999771118164
155,17.5
156,0.0
157,16.899999618530273
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,0.0
165,43.97999954223633
166,0.0
169,0.0
171,25.0
172,14.0
177,47.89999961853028
178,0.0
180,0.0
183,0.0
184,0.0
186,0.0
187,0.0
188,0.0
190,0.0
193,24.0
195,0.0
196,19.989999771118164
197,42.3799991607666
198,45.0
200,8.989999771118164
201,0.0
203,0.0
205,0.0
207,14.0
209,8.470000267028809
210,20.40999984741211
211,13.949999809265137
213,0.0
214,14.970000267028809
215,0.0
217,0.0
218,0.0
221,10.0
222,0.0
225,0.0
226,34.989999771118164
228,0.0
229,14.899999618530272
230,0.0
231,16.979999542236328
234,0.0
236,11.989999771118164
239,0.0
240,0.0
241,0.0
242,17.619999647140503
244,9.949999809265137
245,23.950000762939453
246,0.0
249,0.0
250,0.0
253,0.0
254,0.0
261,0.0
262,19.989999771118164
264,9.989999771118164
265,16.859999656677246
266,0.0
267,0.0
269,28.0
272,0.0
273,0.0
274,0.0
276,0.0
277,46.850000381469734
278,0.0
279,14.06999969482422
281,0.0
282,0.0
285,0.0
287,25.0
289,15.279999732971191
293,0.0
295,0.0
297,0.0
298,0.0
300,38.8100004196167
302,0.0
303,0.0
304,0.0
305,0.0
309,72.63999938964844
311,0.0
312,7.559999942779541
313,12.989999771118164
316,0.0
319,0.0
320,34.070000648498535
321,0.0
323,0.0
325,0.0
327,18.0
328,0.0
329,0.0
330,0.0
332,26.760000228881836
333,0.0
334,0.0
336,0.0
337,0.0
339,18.0
342,0.0
344,0.0
346,0.0
347,0.0
349,21.989999771118164
353,22.0
356,24.989999771118164
357,0.0
358,0.0
360,0.0
